,DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,ACTIVE_CHANGE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
0,2022-04-16,2025209,211,1538366,164,486843,47,1722205,11146669,12868874,3676,0,26110,95,3072,116,1996027,0,48206,26102,0
1,2022-04-15,2024998,329,1538202,240,486796,89,1722023,11143175,12865198,7974,1,26110,165,2977,163,1995911,0,48206,26102,0
2,2022-04-14,2024669,431,1537962,293,486707,138,1721761,11135463,12857224,8089,4,26109,225,2812,202,1995748,1,48206,26102,2
3,2022-04-13,2024238,475,1537669,347,486569,128,1721462,11127673,12849135,9397,2,26105,278,2587,195,1995546,0,48205,26100,0
4,2022-04-12,2023763,324,1537322,232,486441,92,1721099,11118639,12839738,6473,61,26103,58,2309,205,1995351,2,48205,26100,2
5,2022-04-11,2023439,301,1537090,212,486349,89,1720851,11112414,12833265,3634,12,26042,61,2251,228,1995146,2,48203,26098,4
6,2022-04-10,2023138,130,1536878,76,486260,54,1720624,11109007,12829631,3703,1,26030,31,2190,98,1994918,1,48201,26094,2
7,2022-04-09,2023008,173,1536802,110,486206,63,1720536,11105392,12825928,6710,0,26029,87,2159,86,1994820,0,48200,26092,1
8,2022-04-08,2022835,295,1536692,218,486143,77,1720397,11098821,12819218,8259,8,26029,108,2072,179,1994734,1,48200,26091,2
9,2022-04-07,2022540,484,1536474,196,486066,288,1720165,11090794,12810959,8505,139,26021,182,1964,163,1994555,1,48199,26089,0
10,2022-04-06,2022056,383,1536278,239,485778,144,1719944,11082510,12802454,8630,5,25882,210,1782,168,1994392,1,48198,26089,5
11,2022-04-05,2021673,324,1536039,193,485634,131,1719661,11074163,12793824,5886,82,25877,64,1572,178,1994224,1,48197,26084,4
12,2022-04-04,2021349,244,1535846,155,485503,89,1719447,11068491,12787938,4273,127,25795,-98,1508,215,1994046,4,48196,26080,3
13,2022-04-03,2021105,92,1535691,51,485414,41,1719273,11064392,12783665,4358,24,25668,-32,1606,100,1993831,1,48192,26077,2
14,2022-04-02,2021013,190,1535640,92,485373,98,1719209,11060098,12779307,5978,0,25644,90,1638,100,1993731,1,48191,26075,5
15,2022-04-01,2020823,267,1535548,160,485275,107,1719099,11054230,12773329,7861,24,25644,41,1548,202,1993631,0,48190,26070,8
16,2022-03-31,2020556,283,1535388,203,485168,80,1718916,11046552,12765468,9543,15,25620,79,1507,189,1993429,1,48190,26062,4
17,2022-03-30,2020273,314,1535185,160,485088,154,1718688,11037237,12755925,8477,13,25605,104,1428,197,1993240,3,48189,26058,13
18,2022-03-29,2019959,260,1535025,162,484934,98,1718510,11028938,12747448,7940,18,25592,47,1324,195,1993043,2,48186,26045,16
19,2022-03-28,2019699,313,1534863,171,484836,142,1718326,11021182,12739508,5145,72,25574,-65,1277,306,1992848,1,48184,26029,7
20,2022-03-27,2019386,78,1534692,54,484694,24,1718127,11016236,12734363,2989,6,25502,-29,1342,101,1992542,3,48183,26022,5
21,2022-03-26,2019308,140,1534638,115,484670,25,1718061,11013313,12731374,6810,0,25496,47,1371,93,1992441,1,48180,26017,7
22,2022-03-25,2019168,215,1534523,155,484645,60,1717925,11006639,12724564,9339,0,25496,-26,1324,241,1992348,1,48179,26010,11
23,2022-03-24,2018953,249,1534368,134,484585,115,1717745,10997480,12715225,7768,8,25496,-35,1350,276,1992107,0,48178,25999,9
24,2022-03-23,2018704,322,1534234,176,484470,146,1717581,10989876,12707457,8445,31,25488,-29,1385,320,1991831,1,48178,25990,13
25,2022-03-22,2018382,339,1534058,180,484324,159,1717385,10981627,12699012,5695,10,25457,-28,1414,357,1991511,6,48177,25977,10
26,2022-03-21,2018043,298,1533878,205,484165,93,1717173,10976144,12693317,4224,27,25447,-172,1442,443,1991154,1,48171,25967,12
27,2022-03-20,2017745,158,1533673,132,484072,26,1716938,10972155,12689093,2672,4,25420,-52,1614,206,1990711,0,48170,25955,11
28,2022-03-19,2017587,167,1533541,117,484046,50,1716786,10969635,12686421,4771,0,25416,-67,1666,234,1990505,1,48170,25944,8
29,2022-03-18,2017420,334,1533424,216,483996,118,1716647,10965003,12681650,6139,11,25416,-83,1733,406,1990271,1,48169,25936,17
30,2022-03-17,2017086,310,1533208,203,483878,107,1716398,10959113,12675511,5776,14,25405,-257,1816,553,1989865,2,48168,25919,16
31,2022-03-16,2016776,364,1533005,239,483771,125,1716137,10953598,12669735,7540,17,25391,-168,2073,515,1989312,11,48166,25903,16
32,2022-03-15,2016412,395,1532766,202,483646,193,1715847,10946348,12662195,6258,8,25374,-198,2241,585,1988797,5,48155,25887,13
33,2022-03-14,2016017,368,1532564,200,483453,168,1715592,10940345,12655937,4921,146,25366,-594,2439,816,1988212,7,48150,25874,16
34,2022-03-13,2015649,173,1532364,110,483285,63,1715347,10935669,12651016,4340,6,25220,-184,3033,351,1987396,7,48143,25858,10
35,2022-03-12,2015476,139,1532254,93,483222,46,1715200,10931476,12646676,4351,0,25214,-283,3217,422,1987045,3,48136,25848,17
36,2022-03-11,2015337,471,1532161,277,483176,194,1715083,10927242,12642325,10550,214,25214,-526,3500,783,1986623,10,48133,25831,25
37,2022-03-10,2014866,436,1531884,264,482982,172,1714742,10917033,12631775,10162,183,25000,-652,4026,905,1985840,5,48123,25806,18
38,2022-03-09,2014430,632,1531620,348,482810,284,1714424,10907189,12621613,12901,49,24817,-504,4678,1087,1984935,13,48118,25788,16
39,2022-03-08,2013798,703,1531272,315,482526,388,1713995,10894717,12608712,7123,72,24768,-570,5182,1201,1983848,9,48105,25772,23
40,2022-03-07,2013095,601,1530957,377,482138,224,1713632,10887957,12601589,5980,26,24696,-874,5752,1449,1982647,15,48096,25749,21
41,2022-03-06,2012494,278,1530580,175,481914,103,1713168,10882441,12595609,5607,1,24670,-389,6626,666,1981198,8,48081,25728,16
42,2022-03-05,2012216,338,1530405,274,481811,64,1712947,10877055,12590002,9238,1,24669,-444,7015,781,1980532,10,48073,25712,33
43,2022-03-04,2011878,750,1530131,493,481747,257,1712619,10868145,12580764,13869,28,24668,-810,7459,1532,1979751,11,48063,25679,23
44,2022-03-03,2011128,796,1529638,434,481490,362,1712020,10854875,12566895,12526,23,24640,-1048,8269,1821,1978219,15,48052,25656,36
45,2022-03-02,2010332,1227,1529204,818,481128,409,1711501,10842868,12554369,12932,22,24617,-797,9317,2002,1976398,19,48037,25620,37
46,2022-03-01,2009105,1682,1528386,919,480719,763,1710523,10830914,12541437,8864,83,24595,-831,10114,2430,1974396,24,48018,25583,27
47,2022-02-28,2007423,1886,1527467,1089,479956,797,1709485,10823088,12532573,11193,65,24512,-1212,10945,3033,1971966,30,47994,25556,44
48,2022-02-27,2005537,78,1526378,77,479159,1,1708245,10813135,12521380,1630,12,24447,-1282,12157,1348,1968933,3,47964,25512,43
49,2022-02-26,2005459,665,1526301,490,479158,175,1708148,10811602,12519750,9661,0,24435,-911,13439,1576,1967585,11,47961,25469,34
50,2022-02-25,2004794,1667,1525811,1051,478983,616,1707540,10802549,12510089,14609,14,24435,-1273,14350,2926,1966009,32,47950,25435,33
51,2022-02-24,2003127,1982,1524760,1186,478367,796,1706334,10789146,12495480,12387,96,24421,-1769,15623,3655,1963083,20,47918,25402,46
52,2022-02-23,2001145,2248,1523574,1382,477571,866,1704967,10778126,12483093,12401,266,24325,-2003,17392,3985,1959428,22,47898,25356,46
53,2022-02-22,1998897,2663,1522192,1505,476705,1158,1703351,10767341,12470692,9550,95,24059,-2114,19395,4682,1955443,29,47876,25310,41
54,2022-02-21,1996234,1494,1520687,904,475547,590,1701645,10759497,12461142,6713,21,23964,-4930,21509,6403,1950761,22,47847,25269,42
55,2022-02-20,1994740,847,1519783,560,474957,287,1700607,10753822,12454429,6507,9,23943,-1913,26439,2751,1944358,11,47825,25227,46
56,2022-02-19,1993893,1308,1519223,923,474670,385,1699902,10748020,12447922,10668,11,23934,-1767,28352,3064,1941607,26,47814,25181,53
57,2022-02-18,1992585,2778,1518300,1790,474285,988,1698740,10738514,12437254,14970,26,23923,-2128,30119,4880,1938543,30,47788,25128,63
58,2022-02-17,1989807,3579,1516510,2514,473297,1065,1696644,10725640,12422284,18725,37,23897,-3000,32247,6542,1933663,45,47758,25065,70
59,2022-02-16,1986228,3862,1513996,2725,472232,1137,1693816,10709743,12403559,17920,53,23860,-4445,35247,8254,1927121,32,47713,24995,59
60,2022-02-15,1982366,3949,1511271,2753,471095,1196,1690748,10694891,12385639,12433,98,23807,-6081,39692,9932,1918867,45,47681,24936,70
61,2022-02-14,1978417,5208,1508518,2928,469899,2280,1687626,10685580,12373206,12384,362,23709,-7787,45773,12633,1908935,46,47636,24866,72
62,2022-02-13,1973209,1325,1505590,1001,467619,324,1684222,10676600,12360822,8328,61,23347,-3669,53560,4933,1896302,20,47590,24794,58
63,2022-02-12,1971884,2326,1504589,1761,467295,565,1683034,10669460,12352494,12725,3,23286,-3032,57229,5355,1891369,27,47570,24736,86
64,2022-02-11,1969558,5002,1502828,3606,466730,1396,1680936,10658833,12339769,18175,75,23283,-5805,60261,10732,1886014,60,47543,24650,73
65,2022-02-10,1964556,5674,1499222,3827,465334,1847,1676893,10644701,12321594,15316,65,23208,-7541,66066,13150,1875282,50,47483,24577,72
66,2022-02-09,1958882,6178,1495395,4497,463487,1681,1672600,10633678,12306278,18975,50,23143,-8166,73607,14294,1862132,60,47433,24505,74
67,2022-02-08,1952704,6204,1490898,3957,461806,2247,1667500,10619803,12287303,14897,62,23093,-11142,81773,17284,1847838,89,47373,24431,74
68,2022-02-07,1946500,6486,1486941,4033,459559,2453,1663030,10609376,12272406,13659,114,23031,-14661,92915,21033,1830554,67,47284,24357,90
69,2022-02-06,1940014,2963,1482908,2126,457106,837,1658575,10600172,12258747,8952,6,22917,-4591,107576,7548,1809521,53,47217,24267,94
70,2022-02-05,1937051,3840,1480782,2828,456269,1012,1656080,10593715,12249795,11082,3,22911,-4628,112167,8465,1801973,45,47164,24173,95
71,2022-02-04,1933211,7616,1477954,5539,455257,2077,1652853,10585860,12238713,21146,32,22908,-8890,116795,16474,1793508,64,47119,24078,64
72,2022-02-03,1925595,21734,1472415,6400,453180,15334,1646737,10570830,12217567,22622,75,22876,1687,125685,19972,1777034,73,47055,24014,79
73,2022-02-02,1903861,11240,1466015,8143,437846,3097,1639765,10555180,12194945,29544,67,22801,-13573,123998,24746,1757062,109,46982,23935,91
74,2022-02-01,1892621,12283,1457872,8726,434749,3557,1630772,10534629,12165401,26673,73,22734,-14681,137571,26891,1732316,80,46873,23844,93
75,2022-01-31,1880338,9658,1449146,6040,431192,3618,1620970,10517758,12138728,17403,155,22661,-9664,152252,19167,1705425,75,46793,23751,98
